"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 04 00:12:18 GMT+08:00 2021","Thu Mar 04 00:12:18 GMT+08:00 2021","0","cases.product","test_product","","","","test_product_case",""
"passed","Thu Mar 04 00:12:18 GMT+08:00 2021","Thu Mar 04 00:12:18 GMT+08:00 2021","0","cases.user","test_user","","","","test_user_case",""
